Maquina,Fault_Code,TIMESTAMP
E,23849,2020-05-22T04:41:51.704Z
E,23849,2020-05-22T08:10:32.805Z
C,23849,2020-05-21T02:19:43.523Z
C,23849,2020-05-16T02:07:24.931Z
C,23849,2020-05-16T02:07:24.031Z
C,23849,2020-05-19T01:26:23.420Z
C,23849,2020-05-19T01:25:03.487Z
C,23849,2020-05-19T17:15:07.813Z
C,23849,2020-05-19T21:30:35.454Z
C,23849,2020-05-19T21:31:18.266Z
C,23849,2020-05-19T23:07:53.982Z
C,23849,2020-05-19T01:17:14.459Z
C,23849,2020-05-19T05:33:14.696Z
C,23849,2020-05-19T10:40:18.596Z
C,23849,2020-05-19T10:40:35.702Z
C,23849,2020-05-19T16:35:27.937Z
C,23849,2020-05-19T21:25:37.703Z
C,23849,2020-05-20T19:08:26.503Z
C,23849,2020-05-20T19:07:57.881Z
C,23849,2020-05-20T19:16:23.580Z
C,23849,2020-05-20T19:17:00.892Z
C,23849,2020-05-20T19:11:08.389Z
C,23849,2020-05-20T19:08:33.907Z
C,23849,2020-05-20T09:40:12.912Z
C,23849,2020-05-20T19:05:14.613Z
C,23849,2020-05-18T09:42:53.085Z
C,23849,2020-05-18T16:17:07.067Z
C,23849,2020-05-18T09:36:02.199Z
C,23849,2020-05-18T16:11:05.499Z
C,23849,2020-05-13T01:36:28.370Z
C,23849,2020-05-13T01:30:25.902Z
C,23849,2020-05-13T01:30:42.304Z
C,23849,2020-05-13T01:35:33.117Z
C,23849,2020-05-13T01:36:10.056Z
C,23849,2020-05-13T01:38:20.097Z
C,23849,2020-05-13T09:04:36.822Z
C,28714,2020-05-19T17:03:29.985Z
B,62513,2020-05-25T16:49:53.226Z
I,62513,2020-05-13T00:49:55.507Z
E,62513,2020-05-21T13:15:44.314Z
E,62513,2020-05-20T07:36:35.506Z
E,62513,2020-05-18T09:22:50.448Z
E,62513,2020-05-18T22:01:21.507Z
E,62513,2020-05-13T01:09:38.204Z
E,62513,2020-05-13T13:48:28.451Z
C,62513,2020-05-13T05:41:48.700Z
C,62513,2020-05-13T05:41:40.993Z
C,62513,2020-05-13T07:06:21.124Z
C,62513,2020-05-13T07:05:56.314Z
J,23860,2020-05-11T17:55:19.092Z
J,23860,2020-05-11T17:54:03.635Z
J,23860,2020-05-11T17:54:47.752Z
J,23860,2020-05-11T17:53:45.398Z
J,23860,2020-05-11T18:01:52.884Z
J,23860,2020-05-11T18:02:37.328Z
J,23860,2020-05-11T18:01:59.654Z
J,23860,2020-05-11T18:07:45.054Z
J,23860,2020-05-11T18:01:36.613Z
J,23860,2020-05-11T18:10:58.011Z
J,23860,2020-05-11T18:16:01.588Z
J,23860,2020-05-11T18:15:41.167Z
J,23860,2020-05-11T18:19:19.630Z
J,23860,2020-05-11T18:22:22.540Z
J,23860,2020-05-11T18:26:10.769Z
J,23860,2020-05-11T18:27:04.698Z
J,23860,2020-05-11T18:26:32.827Z
J,23860,2020-05-11T18:26:38.833Z
J,23860,2020-05-11T18:30:55.017Z
J,23860,2020-05-11T18:31:12.489Z
J,23860,2020-05-11T18:34:20.641Z
J,23860,2020-05-11T21:07:23.222Z
J,23860,2020-05-11T21:06:40.416Z
J,23860,2020-05-11T21:06:51.554Z
J,23860,2020-05-11T21:05:24.085Z
J,23860,2020-05-11T21:06:17.156Z
J,23860,2020-05-11T21:07:31.631Z
J,23860,2020-05-11T21:15:37.026Z
J,23860,2020-05-11T21:15:21.082Z
J,23860,2020-05-11T21:20:16.687Z
J,23860,2020-05-11T21:20:06.969Z
J,23860,2020-05-11T21:20:24.441Z
J,23860,2020-05-11T21:58:05.727Z
J,23860,2020-05-11T23:39:03.171Z
J,23860,2020-05-12T14:29:46.587Z
J,23860,2020-05-12T14:37:42.372Z
J,23860,2020-05-12T14:28:15.186Z
J,23860,2020-05-12T14:28:30.802Z
J,23860,2020-05-12T14:37:36.366Z
J,23860,2020-05-12T14:28:39.211Z
J,23860,2020-05-12T15:45:47.645Z
J,23860,2020-05-12T15:31:13.716Z
J,23860,2020-05-12T15:42:50.632Z
J,23860,2020-05-12T15:29:32.815Z
J,23860,2020-05-12T15:42:23.550Z
J,23860,2020-05-12T15:28:09.277Z
J,23860,2020-05-12T15:42:44.407Z
J,23860,2020-05-12T15:59:01.343Z
J,23860,2020-05-12T15:27:19.700Z
J,23860,2020-05-12T15:27:10.855Z
J,23860,2020-05-12T15:31:02.141Z
J,23860,2020-05-12T15:58:37.756Z
J,23860,2020-05-12T15:29:02.239Z
J,23860,2020-05-12T16:58:06.980Z
J,23860,2020-05-12T16:57:19.696Z
J,23860,2020-05-12T16:56:34.269Z
J,23860,2020-05-12T16:41:37.626Z
J,23860,2020-05-12T16:27:06.333Z
J,23860,2020-05-12T16:38:20.551Z
J,23860,2020-05-12T16:58:27.509Z
J,23860,2020-05-12T17:57:22.257Z
J,23860,2020-05-12T18:00:03.172Z
J,23860,2020-05-12T18:00:15.948Z
J,23860,2020-05-12T17:53:50.627Z
J,23860,2020-05-12T18:10:28.982Z
J,23860,2020-05-12T18:07:12.547Z
J,23860,2020-05-12T18:08:07.209Z
J,23860,2020-05-12T18:08:25.118Z
J,23860,2020-05-12T17:59:03.548Z
J,23860,2020-05-12T17:53:34.793Z
J,23860,2020-05-12T18:01:29.112Z
J,23860,2020-05-12T17:56:25.692Z
J,23860,2020-05-12T18:08:31.015Z
J,23860,2020-05-12T18:09:55.895Z
J,23860,2020-05-12T18:09:18.985Z
J,23860,2020-05-12T18:10:17.298Z
J,23860,2020-05-12T18:08:17.365Z
J,23860,2020-05-12T19:28:14.077Z
J,23860,2020-05-12T19:28:35.371Z
J,23860,2020-05-12T19:28:42.687Z
J,23860,2020-05-12T19:30:22.059Z
J,23860,2020-05-12T19:36:07.054Z
J,23860,2020-05-12T19:38:41.026Z
J,23860,2020-05-12T19:39:01.665Z
J,23860,2020-05-12T19:38:48.015Z
J,23860,2020-05-12T21:21:02.976Z
J,23860,2020-05-12T21:28:39.105Z
J,23860,2020-05-12T21:02:22.472Z
J,23860,2020-05-12T21:14:13.912Z
J,23860,2020-05-12T21:21:26.454Z
J,23860,2020-05-12T20:57:28.178Z
J,23860,2020-05-12T21:02:41.910Z
J,23860,2020-05-12T20:57:38.661Z
J,23860,2020-05-12T21:13:27.065Z
J,23860,2020-05-12T21:07:05.738Z
J,23860,2020-05-12T21:28:59.307Z
J,23860,2020-05-13T06:07:57.741Z
I,23866,2020-05-11T16:57:06.667Z
C,62018,2020-05-21T22:42:27.778Z
C,62018,2020-05-16T01:05:10.424Z
C,62018,2020-05-16T01:09:51.868Z
C,62018,2020-05-16T01:20:44.344Z
C,62018,2020-05-16T01:21:01.348Z
C,62018,2020-05-23T06:03:05.468Z
C,62018,2020-05-23T07:32:25.979Z
C,62018,2020-05-23T04:42:39.395Z
C,62018,2020-05-23T04:51:10.676Z
C,62018,2020-05-23T08:24:37.535Z
