Maquina,Fault_Code,TIMESTAMP
C,0,2021-03-28T22:07:49.304Z
C,28808,2021-03-28T22:07:48.816Z
C,0,2021-03-28T00:12:22.306Z
C,0,2021-03-28T00:12:19.813Z
C,7,2021-03-28T00:12:20.050Z
C,7,2021-03-28T00:12:12.610Z
C,28808,2021-03-28T00:12:10.432Z
C,23559,2021-03-28T23:15:23.630Z
C,0,2021-03-28T23:15:47.861Z
C,0,2021-03-28T02:45:59.247Z
C,1,2021-03-28T02:42:38.521Z
C,1,2021-03-29T00:43:28.177Z
C,0,2021-03-29T00:43:30.302Z
C,0,2021-03-29T09:23:26.633Z
C,28808,2021-03-29T09:23:25.908Z
C,28808,2021-03-29T07:13:00.635Z
C,0,2021-03-29T07:13:02.258Z
C,28808,2021-03-29T07:19:28.767Z
C,0,2021-03-29T07:19:30.002Z
C,0,2021-03-29T10:45:09.523Z
C,1,2021-03-29T10:44:49.059Z
C,0,2021-03-29T01:04:38.440Z
C,28808,2021-03-29T01:04:37.854Z
C,7,2021-03-29T05:01:39.344Z
C,0,2021-03-29T05:01:39.813Z
C,0,2021-03-29T04:09:07.315Z
C,7,2021-03-29T04:08:56.176Z
C,0,2021-03-29T05:57:00.092Z
C,7,2021-03-29T05:11:26.901Z
C,7,2021-03-29T05:56:59.305Z
C,0,2021-03-29T05:11:38.316Z
C,0,2021-03-22T07:40:54.062Z
C,0,2021-03-22T09:21:40.886Z
C,1,2021-03-22T09:21:26.910Z
C,28808,2021-03-22T07:40:53.423Z
C,0,2021-03-22T11:15:25.132Z
C,0,2021-03-22T13:53:17.690Z
C,28808,2021-03-22T11:15:24.647Z
C,28808,2021-03-22T13:53:16.990Z
C,0,2021-03-22T19:53:35.487Z
C,0,2021-03-22T19:35:20.467Z
C,0,2021-03-22T19:13:27.200Z
C,0,2021-03-22T20:09:48.750Z
C,28808,2021-03-22T19:13:26.650Z
C,28808,2021-03-22T19:35:19.923Z
C,28808,2021-03-22T20:09:48.244Z
C,28808,2021-03-22T19:53:34.908Z
C,0,2021-03-22T11:42:55.490Z
C,28808,2021-03-22T11:42:54.625Z
C,0,2021-03-22T20:29:23.152Z
C,28808,2021-03-22T20:29:22.752Z
C,0,2021-03-22T21:41:51.570Z
C,28808,2021-03-22T21:41:51.010Z
C,0,2021-03-26T06:26:53.908Z
C,28808,2021-03-26T06:26:53.208Z
C,0,2021-03-26T11:26:55.220Z
C,28808,2021-03-26T11:26:54.689Z
C,0,2021-03-26T04:41:08.607Z
C,0,2021-03-26T04:30:27.224Z
C,0,2021-03-26T04:39:04.069Z
C,0,2021-03-26T07:32:22.295Z
C,0,2021-03-26T09:35:31.375Z
C,7,2021-03-26T04:41:08.215Z
C,28808,2021-03-26T04:39:03.269Z
C,28808,2021-03-26T04:41:06.334Z
C,28808,2021-03-26T04:30:26.696Z
C,28808,2021-03-26T07:32:21.632Z
C,28808,2021-03-26T09:35:29.872Z
C,0,2021-03-26T11:53:37.175Z
C,28808,2021-03-26T11:53:36.786Z
C,0,2021-03-26T15:58:45.417Z
C,1,2021-03-26T15:58:26.773Z
C,0,2021-03-26T14:42:17.426Z
C,0,2021-03-26T13:56:13.939Z
C,23555,2021-03-26T14:41:29.307Z
C,28808,2021-03-26T13:56:13.539Z
C,0,2021-03-26T06:17:03.729Z
C,0,2021-03-26T06:17:39.290Z
C,7,2021-03-26T06:17:02.235Z
C,28694,2021-03-26T06:17:00.219Z
C,28808,2021-03-26T06:17:38.262Z
C,0,2021-03-26T19:25:20.309Z
C,0,2021-03-26T19:42:19.170Z
C,0,2021-03-26T19:29:05.595Z
C,0,2021-03-26T19:40:12.379Z
C,0,2021-03-26T19:30:25.351Z
C,1,2021-03-26T19:25:06.637Z
C,28808,2021-03-26T19:42:18.701Z
C,28808,2021-03-26T19:40:11.785Z
C,28808,2021-03-26T19:30:24.830Z
C,28808,2021-03-26T19:29:05.117Z
C,0,2021-03-23T00:13:37.957Z
C,0,2021-03-23T00:14:22.165Z
