Maquina,Fault_Code,TIMESTAMP
B,0,2022-07-19T14:07:16.178Z
A,0,2022-07-19T14:26:52.045Z
A,0,2022-07-19T14:27:09.845Z
C,28808,2022-07-19T14:33:17.027Z
C,0,2022-07-19T14:33:17.245Z
C,0,2022-07-19T14:40:16.559Z
C,0,2022-07-19T14:40:28.555Z
E,24524,2022-07-19T15:00:33.080Z
H,0,2022-07-19T14:07:17.067Z
B,6,2022-07-19T14:27:13.558Z
C,1,2022-07-19T14:39:37.761Z
C,0,2022-07-19T14:39:39.789Z
C,0,2022-07-19T14:40:16.325Z
C,1,2022-07-19T14:40:27.525Z
C,0,2022-07-19T14:40:28.664Z
C,0,2022-07-19T14:43:11.404Z
E,0,2022-07-19T15:04:37.127Z
G,28808,2022-07-19T14:14:15.725Z
G,0,2022-07-19T14:14:16.271Z
A,28965,2022-07-19T14:24:38.930Z
A,28694,2022-07-19T14:27:09.190Z
B,0,2022-07-19T14:27:25.351Z
C,1,2022-07-19T14:40:15.123Z
C,1,2022-07-19T14:40:15.264Z
C,1,2022-07-19T14:40:27.354Z
C,28808,2022-07-19T14:43:10.920Z
E,24524,2022-07-19T14:50:00.312Z
E,0,2022-07-19T14:50:24.991Z
B,0,2022-07-20T04:07:35.731Z
G,28808,2022-07-20T04:10:41.918Z
G,0,2022-07-20T04:10:42.464Z
B,0,2022-07-20T04:10:56.769Z
B,23750,2022-07-20T04:12:17.795Z
B,0,2022-07-20T04:12:40.727Z
B,23750,2022-07-20T04:13:49.087Z
E,24524,2022-07-20T04:23:57.804Z
E,0,2022-07-20T04:28:21.133Z
B,23750,2022-07-20T04:30:25.429Z
B,0,2022-07-20T04:30:35.148Z
H,6,2022-07-20T04:31:59.887Z
H,0,2022-07-20T04:32:13.865Z
B,0,2022-07-20T04:35:32.719Z
E,7,2022-07-20T04:36:15.857Z
E,0,2022-07-20T04:38:44.276Z
E,24524,2022-07-20T05:04:40.846Z
B,23750,2022-07-20T05:04:55.553Z
B,0,2022-07-20T05:04:59.812Z
G,28808,2022-07-20T05:05:04.944Z
B,23750,2022-07-20T04:07:31.582Z
B,23750,2022-07-20T04:10:50.654Z
B,0,2022-07-20T04:13:54.328Z
E,0,2022-07-20T04:24:23.029Z
E,24524,2022-07-20T04:28:18.403Z
H,7,2022-07-20T04:32:02.290Z
B,23750,2022-07-20T04:34:34.406Z
E,0,2022-07-20T04:36:21.099Z
E,24524,2022-07-20T04:38:42.529Z
E,24524,2022-07-20T04:44:28.600Z
E,0,2022-07-20T04:44:31.002Z
E,0,2022-07-20T05:04:43.030Z
G,0,2022-07-20T05:05:05.381Z
B,23750,2022-07-20T05:05:51.947Z
B,0,2022-07-20T05:06:32.413Z
E,24524,2022-07-19T22:07:39.105Z
E,0,2022-07-19T22:08:31.879Z
B,23750,2022-07-19T22:14:02.908Z
B,0,2022-07-19T22:14:09.569Z
B,23750,2022-07-19T22:14:59.910Z
B,0,2022-07-19T22:15:05.152Z
B,23750,2022-07-19T22:16:45.616Z
B,0,2022-07-19T22:17:13.790Z
B,23750,2022-07-19T22:18:05.660Z
B,0,2022-07-19T22:18:28.919Z
E,28808,2022-07-19T22:25:33.463Z
E,0,2022-07-19T22:25:33.681Z
G,28808,2022-07-19T22:47:00.991Z
G,0,2022-07-19T22:47:01.319Z
C,23846,2022-07-19T22:51:11.532Z
C,0,2022-07-19T22:51:12.484Z
C,23846,2022-07-19T22:51:19.582Z
C,0,2022-07-19T22:52:01.858Z
C,23846,2022-07-19T22:52:08.846Z
C,28808,2022-07-19T22:53:15.178Z
C,0,2022-07-19T22:53:15.615Z
B,23750,2022-07-19T23:04:54.101Z
B,0,2022-07-19T23:04:55.849Z
B,28808,2022-07-19T23:05:44.302Z
B,0,2022-07-19T23:05:44.942Z
G,28808,2022-07-19T23:07:07.981Z
G,0,2022-07-19T23:07:08.636Z
C,6,2022-07-19T21:09:28.130Z
C,7,2022-07-19T21:09:30.439Z
C,0,2022-07-19T21:09:39.503Z
C,6,2022-07-19T21:20:03.426Z
C,7,2022-07-19T21:20:05.828Z
C,0,2022-07-19T21:20:31.927Z
E,24524,2022-07-19T21:23:24.931Z
E,0,2022-07-19T21:23:44.042Z
E,24524,2022-07-19T21:37:16.756Z
E,0,2022-07-19T21:37:25.711Z
E,24524,2022-07-19T21:40:50.711Z
E,0,2022-07-19T21:41:10.694Z
C,6,2022-07-19T21:44:07.676Z
C,7,2022-07-19T21:44:09.970Z
C,0,2022-07-19T21:44:22.418Z
E,24524,2022-07-19T21:44:39.345Z
E,0,2022-07-19T21:45:02.167Z
E,24524,2022-07-19T21:46:41.103Z
E,0,2022-07-19T21:47:13.566Z
E,24524,2022-07-19T21:48:55.045Z
G,28808,2022-07-19T21:48:54.853Z
G,0,2022-07-19T21:48:55.617Z
E,0,2022-07-19T21:49:01.051Z
B,23750,2022-07-19T21:55:00.018Z
